"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","FREQ.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w10005012",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",3391,"20",3856,"cogged",33.333333333333,0
"w10007676",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",3734,"0",5362,"BRONZE",100,100
"w10008769",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",8078,"0",78258,"CANDY",18.181818181818,0
"w10010991_apc",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",4975,"40",5686,"vein",20,0
"w10017318_jw",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",9909,"0",1160,"",0,0
"w10051017_dg",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",59693,"0",5997,"vein",20,0
"w215680_oa",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",140825,"1",7583,"musle",18.181818181818,0
"w726337",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",5173,"50",5391,"bronze",100,100
"w997109",9,"Frequency Version A","ARTERY","BRONZE","Study1","U",17181,"1",12702,"Vein ",20,0
"10056332",9,"Frequency Version A","BABY","CHILD","Study1","S",3905,"100",2087,"child",100,100
"w10005012",9,"Frequency Version A","BABY","CHILD","Study1","S",1522,"75",28535,"BAby",0,0
"w10007676",9,"Frequency Version A","BABY","CHILD","Study1","S",3826,"100",2922,"CHILD",100,100
"w10008769",9,"Frequency Version A","BABY","CHILD","Study1","S",19278,"80",3055,"CHILD",100,100
"w10010991_apc",9,"Frequency Version A","BABY","CHILD","Study1","S",10831,"60",5896,"diaper",18.181818181818,0
"w10017318_jw",9,"Frequency Version A","BABY","CHILD","Study1","S",13697,"94",4540,"Child",100,100
"w10051017_dg",9,"Frequency Version A","BABY","CHILD","Study1","S",3361,"95",2354,"child",100,100
"w215680_oa",9,"Frequency Version A","BABY","CHILD","Study1","S",1607,"100",3087,"child",100,100
"w726337",9,"Frequency Version A","BABY","CHILD","Study1","S",28227,"25",1986,"child",100,100
"w997109",9,"Frequency Version A","BABY","CHILD","Study1","S",9416,"99",8823,"Child ",100,100
"10056332",9,"Frequency Version A","BALL","RACKET","Study1","B",4169,"95",2386,"catcher",30.769230769231,0
"w10005012",9,"Frequency Version A","BALL","RACKET","Study1","B",1598,"42",5468,"sport",36.363636363636,0
"w10007676",9,"Frequency Version A","BALL","RACKET","Study1","B",5157,"5",5903,"THROW",18.181818181818,0
"w10008769",9,"Frequency Version A","BALL","RACKET","Study1","B",9649,"75",29779,"RACKET",100,100
"w10010991_apc",9,"Frequency Version A","BALL","RACKET","Study1","B",1912,NA,4946,"catch",36.363636363636,0
"w10017318_jw",9,"Frequency Version A","BALL","RACKET","Study1","B",6547,"90",1113,"",0,0
"w10051017_dg",9,"Frequency Version A","BALL","RACKET","Study1","B",6862,"60",7088,"game",40,0
"w215680_oa",9,"Frequency Version A","BALL","RACKET","Study1","B",5389,"90",19620,"baseball",28.571428571429,0
"w726337",9,"Frequency Version A","BALL","RACKET","Study1","B",3202,"90",2468,"catcher",30.769230769231,0
"w997109",9,"Frequency Version A","BALL","RACKET","Study1","B",15803,"90",13861,"Racket ",100,100
"10056332",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",2423,"100",3230,"toilet",100,100
"w10005012",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",1619,"75",6021,"toilet",100,100
"w10007676",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",3979,"95",3171,"TOILET",100,100
"w10008769",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",4879,"95",2865,"TOILET",100,100
"w10010991_apc",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",5358,"95",5343,"toilet",100,100
"w10017318_jw",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",3487,"100",1556,"",0,0
"w10051017_dg",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",3257,"95",2909,"toilet",100,100
"w215680_oa",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",2238,"100",36712,"hygiene",30.769230769231,0
"w726337",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",5659,"78",6176,"toilet",100,100
"w997109",9,"Frequency Version A","BATHROOM","TOILET","Study1","S",10314,"99",8862,"Toilet ",100,100
"10056332",9,"Frequency Version A","BEGIN","END","Study1","S",2769,"100",1709,"",0,0
"w10005012",9,"Frequency Version A","BEGIN","END","Study1","S",1383,"75",12186,"end",100,100
"w10007676",9,"Frequency Version A","BEGIN","END","Study1","S",5330,"98",3550,"END",100,100
"w10008769",9,"Frequency Version A","BEGIN","END","Study1","S",5949,"95",6821,"END",100,100
"w10010991_apc",9,"Frequency Version A","BEGIN","END","Study1","S",4089,"90",4072,"end",100,100
"w10017318_jw",9,"Frequency Version A","BEGIN","END","Study1","S",35187,"100",1991,"",0,0
"w10051017_dg",9,"Frequency Version A","BEGIN","END","Study1","S",3870,"90",7051,"strt",0,0
"w215680_oa",9,"Frequency Version A","BEGIN","END","Study1","S",8447,"50",2061,"end",100,100
"w726337",9,"Frequency Version A","BEGIN","END","Study1","S",6614,"50",2156,"end",100,100
"w997109",9,"Frequency Version A","BEGIN","END","Study1","S",8650,"99",7305,"End ",100,100
"10056332",9,"Frequency Version A","BITTER","COLD","Study1","F",2838,"100",1788,"cold",100,100
"w10005012",9,"Frequency Version A","BITTER","COLD","Study1","F",1527,"52",4842,"sour",25,0
"w10007676",9,"Frequency Version A","BITTER","COLD","Study1","F",3359,"100",5262,"SWEET",0,0
"w10008769",9,"Frequency Version A","BITTER","COLD","Study1","F",3774,"90",7976,"COLD",100,100
"w10010991_apc",9,"Frequency Version A","BITTER","COLD","Study1","F",3864,"60",4787,"cold",100,100
"w10017318_jw",9,"Frequency Version A","BITTER","COLD","Study1","F",13401,"54",4522,"",0,0
"w10051017_dg",9,"Frequency Version A","BITTER","COLD","Study1","F",164011,"45",2926,"sad",28.571428571429,0
"w215680_oa",9,"Frequency Version A","BITTER","COLD","Study1","F",5216,"30",4206,"sour",25,0
"w726337",9,"Frequency Version A","BITTER","COLD","Study1","F",3648,"75",5772,"sour",25,0
"w997109",9,"Frequency Version A","BITTER","COLD","Study1","F",15303,"80",22910,"Nasty ",0,0
"10056332",9,"Frequency Version A","BLOW","WIND","Study1","S",3818,"99",10995,"wind",100,100
"w10005012",9,"Frequency Version A","BLOW","WIND","Study1","S",5002,"50",4238,"it",33.333333333333,0
"w10007676",9,"Frequency Version A","BLOW","WIND","Study1","S",11626,"80",4496,"AIR",28.571428571429,0
"w10008769",9,"Frequency Version A","BLOW","WIND","Study1","S",16166,"85",2834,"WIND",100,100
"w10010991_apc",9,"Frequency Version A","BLOW","WIND","Study1","S",9755,"100",5729,"tree",0,0
"w10017318_jw",9,"Frequency Version A","BLOW","WIND","Study1","S",16224,"91",2162,"Wind",100,100
"w10051017_dg",9,"Frequency Version A","BLOW","WIND","Study1","S",6397,"90",5006,"wind",100,100
"w215680_oa",9,"Frequency Version A","BLOW","WIND","Study1","S",2282,"100",3432,"wind",100,100
"w726337",9,"Frequency Version A","BLOW","WIND","Study1","S",3318,"90",5394,"suck",0,0
"w997109",9,"Frequency Version A","BLOW","WIND","Study1","S",12693,"99",11901,"Wind ",100,100
"10056332",9,"Frequency Version A","BRIDGE","WATER","Study1","F",4252,"99",3294,"water",100,100
"w10005012",9,"Frequency Version A","BRIDGE","WATER","Study1","F",1049,"75",3661,"water",100,100
"w10007676",9,"Frequency Version A","BRIDGE","WATER","Study1","F",4758,"93",3333,"WATER",100,100
"w10008769",9,"Frequency Version A","BRIDGE","WATER","Study1","F",6847,"80",2729,"WATER",100,100
"w10010991_apc",9,"Frequency Version A","BRIDGE","WATER","Study1","F",4240,"70",3433,"water",100,100
"w10017318_jw",9,"Frequency Version A","BRIDGE","WATER","Study1","F",7933,"96",3279,"Water",100,100
"w10051017_dg",9,"Frequency Version A","BRIDGE","WATER","Study1","F",5938,"75",2300,"water",100,100
"w215680_oa",9,"Frequency Version A","BRIDGE","WATER","Study1","F",4788,"100",2341,"water",100,100
"w726337",9,"Frequency Version A","BRIDGE","WATER","Study1","F",2016,"90",2149,"water",100,100
"w997109",9,"Frequency Version A","BRIDGE","WATER","Study1","F",9538,"99",7831,"Water ",100,100
"10056332",9,"Frequency Version A","BUG","WASP","Study1","B",3310,"95",9621,"hornet",0,0
"w10005012",9,"Frequency Version A","BUG","WASP","Study1","B",16680,"50",3838,"gross",22.222222222222,0
"w10007676",9,"Frequency Version A","BUG","WASP","Study1","B",6183,"0",4732,"WASP",100,100
"w10008769",9,"Frequency Version A","BUG","WASP","Study1","B",19368,"50",3200,"WASP",100,100
"w10010991_apc",9,"Frequency Version A","BUG","WASP","Study1","B",3340,"90",8509,"spider",40,0
"w10017318_jw",9,"Frequency Version A","BUG","WASP","Study1","B",11454,"88",4401,"Wasp",100,100
"w10051017_dg",9,"Frequency Version A","BUG","WASP","Study1","B",80937,"80",12664,"",0,0
"w215680_oa",9,"Frequency Version A","BUG","WASP","Study1","B",2242,"100",22037,"infestation",13.333333333333,0
"w726337",9,"Frequency Version A","BUG","WASP","Study1","B",3020,"90",4563,"wasp",100,100
"w997109",9,"Frequency Version A","BUG","WASP","Study1","B",10157,"99",9279,"Insect ",20,0
"10056332",9,"Frequency Version A","CASH","WOULD","Study1","U",3853,"0",3182,"Wage",22.222222222222,0
"w10005012",9,"Frequency Version A","CASH","WOULD","Study1","U",1541,"95",4617,"money",20,0
"w10007676",9,"Frequency Version A","CASH","WOULD","Study1","U",2838,"0",4653,"MONEY",20,0
"w10008769",9,"Frequency Version A","CASH","WOULD","Study1","U",3480,"0",32693,"CLERK",20,0
"w10010991_apc",9,"Frequency Version A","CASH","WOULD","Study1","U",4403,"0",4267,"money",20,0
"w10017318_jw",9,"Frequency Version A","CASH","WOULD","Study1","U",7379,"60",2320,"",0,0
"w10051017_dg",9,"Frequency Version A","CASH","WOULD","Study1","U",5254,"10",2669,"",0,0
"w215680_oa",9,"Frequency Version A","CASH","WOULD","Study1","U",5531,"0",8401,"money",20,0
"w726337",9,"Frequency Version A","CASH","WOULD","Study1","U",3071,"99",2690,"money",20,0
"w997109",9,"Frequency Version A","CASH","WOULD","Study1","U",16094,"2",8530,"Money ",20,0
"10056332",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",3426,"95",2268,"hammer",100,100
"w10005012",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",1500,"85",4317,"jaw",22.222222222222,0
"w10007676",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",2637,"0",3765,"HAMMER",100,100
"w10008769",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",9303,"75",3250,"HAMMER",100,100
"w10010991_apc",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",6236,"75",11101,"hammer",100,100
"w10017318_jw",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",14890,"88",2580,"",0,0
"w10051017_dg",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",4652,"30",2820,"hammer",100,100
"w215680_oa",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",22071,"1",7338,"icecream",28.571428571429,0
"w726337",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",5124,"99",2614,"hammer",100,100
"w997109",9,"Frequency Version A","CHISEL","HAMMER","Study1","F",22946,"2",23512,"Horse ",36.363636363636,0
"10056332",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",3343,"100",1988,"",0,0
"w10005012",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",1001,"75",3939,"round",100,100
"w10007676",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",3764,"100",4845,"ROUND",100,100
"w10008769",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",7149,"80",2691,"ROUND",100,100
"w10010991_apc",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",3583,"100",3735,"round",100,100
"w10017318_jw",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",8437,"50",5268,"Round",100,100
"w10051017_dg",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",9158,"90",3503,"rounds",90.909090909091,100
"w215680_oa",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",4514,"100",4024,"round",100,100
"w726337",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",2695,"10",3313,"round",100,100
"w997109",9,"Frequency Version A","CIRCLE","ROUND","Study1","S",7758,"99",9234,"Round ",100,100
"10056332",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",5146,"99",2659,"attire",100,100
"w10005012",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",1239,"85",3937,"Naked",36.363636363636,0
"w10007676",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",4766,"80",3966,"SHOES",18.181818181818,0
"w10008769",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",5316,"90",4075,"ATTIRE",100,100
"w10010991_apc",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",3004,"90",4057,"attire",100,100
"w10017318_jw",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",13644,"91",4177,"",0,0
"w10051017_dg",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",47636,"65",3028,"attire",100,100
"w215680_oa",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",5890,"80",15882,"attire",100,100
"w726337",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",3254,"25",25258,"hung",0,0
"w997109",9,"Frequency Version A","CLOTHES","ATTIRE","Study1","B",13693,"99",8764,"Attire ",100,100
"10056332",9,"Frequency Version A","CREDIT","CARD","Study1","F",2524,"100",8041,"",0,0
"w10005012",9,"Frequency Version A","CREDIT","CARD","Study1","F",2686,"100",2568,"card",100,100
"w10007676",9,"Frequency Version A","CREDIT","CARD","Study1","F",3656,"100",3277,"CARD",100,100
"w10008769",9,"Frequency Version A","CREDIT","CARD","Study1","F",7814,"99",2453,"CARD",100,100
"w10010991_apc",9,"Frequency Version A","CREDIT","CARD","Study1","F",3411,"100",3832,"card",100,100
"w10017318_jw",9,"Frequency Version A","CREDIT","CARD","Study1","F",5127,"100",3572,"Card",100,100
"w10051017_dg",9,"Frequency Version A","CREDIT","CARD","Study1","F",5318,"90",1797,"card",100,100
"w215680_oa",9,"Frequency Version A","CREDIT","CARD","Study1","F",2124,"100",16611,"card",100,100
"w726337",9,"Frequency Version A","CREDIT","CARD","Study1","F",1632,"90",2139,"card",100,100
"w997109",9,"Frequency Version A","CREDIT","CARD","Study1","F",18191,"99",8948,"Card ",100,100
"10056332",9,"Frequency Version A","DARK","CAVE","Study1","B",4940,"100",3361,"",0,0
"w10005012",9,"Frequency Version A","DARK","CAVE","Study1","B",4567,"75",4019,"scary",44.444444444444,0
"w10007676",9,"Frequency Version A","DARK","CAVE","Study1","B",7458,"30",5605,"NIGHT",0,0
"w10008769",9,"Frequency Version A","DARK","CAVE","Study1","B",8912,"95",2406,"CAVE",100,100
"w10010991_apc",9,"Frequency Version A","DARK","CAVE","Study1","B",6033,"90",4010,"cave",100,100
"w10017318_jw",9,"Frequency Version A","DARK","CAVE","Study1","B",54671,"91",3480,"",0,0
"w10051017_dg",9,"Frequency Version A","DARK","CAVE","Study1","B",710929,"80",2526,"cave",100,100
"w215680_oa",9,"Frequency Version A","DARK","CAVE","Study1","B",2670,"90",6731,"night",0,0
"w726337",9,"Frequency Version A","DARK","CAVE","Study1","B",3350,"95",21616,"bright",0,0
"w997109",9,"Frequency Version A","DARK","CAVE","Study1","B",11019,"90",8091,"Cave ",100,100
"10056332",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",8553,"45",4661,"",0,0
"w10005012",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",5896,"75",4684,"me",20,0
"w10007676",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",3331,"0",19233,"END",18.181818181818,0
"w10008769",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",8640,"20",19065,"BUSINESS",100,100
"w10010991_apc",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",7499,"20",7819,"life",33.333333333333,0
"w10017318_jw",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",13064,"35",1261,"",0,0
"w10051017_dg",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",9371,"0",1834,"",0,0
"w215680_oa",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",3742,"0",21788,"hide",33.333333333333,0
"w726337",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",3135,"50",8032,"live",33.333333333333,0
"w997109",9,"Frequency Version A","DEATH","BUSINESS","Study1","U",12841,"50",19526,"Gone ",33.333333333333,0
"10056332",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",6377,"0",3109,"talk",22.222222222222,0
"w10005012",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",1823,"85",6109,"president",42.857142857143,0
"w10007676",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",2534,"0",6055,"SPEECH",36.363636363636,0
"w10008769",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",3853,"0",13611,"DECIDE",18.181818181818,0
"w10010991_apc",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",6635,"10",5153,"sign",66.666666666667,0
"w10017318_jw",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",14256,"48",4094,"",0,0
"w10051017_dg",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",52208,"0",11607,"argue",20,0
"w215680_oa",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",7364,"20",21686,"discussion",26.666666666667,0
"w726337",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",9451,"25",2991,"talk",22.222222222222,0
"w997109",9,"Frequency Version A","DEBATE","SIGHT","Study1","U",21759,"12",16641,"Argue ",20,0
"10056332",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",4934,"80",2720,"bad",100,100
"w10005012",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",1411,"75",6924,"juvinile",0,0
"w10007676",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",4275,"100",2717,"BAD",100,100
"w10008769",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",4076,"90",2561,"BAD",100,100
"w10010991_apc",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",6477,"70",4286,"bad",100,100
"w10017318_jw",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",9825,"96",6075,"Trouble",20,0
"w10051017_dg",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",3452,"85",3900,"bad",100,100
"w215680_oa",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",20169,"20",18927,"crime",0,0
"w726337",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",8531,"80",1726,"bad",100,100
"w997109",9,"Frequency Version A","DELINQUENT","BAD","Study1","F",19103,"95",17031,"Soft ",0,0
"10056332",9,"Frequency Version A","DIETARY","SACKING","Study1","U",2793,"0",7270,"",0,0
"w10005012",9,"Frequency Version A","DIETARY","SACKING","Study1","U",2146,"75",4223,"needs",16.666666666667,0
"w10007676",9,"Frequency Version A","DIETARY","SACKING","Study1","U",2554,"0",5148,"STOMACH",42.857142857143,0
"w10008769",9,"Frequency Version A","DIETARY","SACKING","Study1","U",6733,"0",19162,"FOOD",0,0
"w10010991_apc",9,"Frequency Version A","DIETARY","SACKING","Study1","U",5477,"40",14858,"food",0,0
"w10017318_jw",9,"Frequency Version A","DIETARY","SACKING","Study1","U",6416,"8",3042,"",0,0
"w10051017_dg",9,"Frequency Version A","DIETARY","SACKING","Study1","U",137576,"0",3029,"",0,0
"w215680_oa",9,"Frequency Version A","DIETARY","SACKING","Study1","U",21240,"0",41730,"nutrient",13.333333333333,0
"w726337",9,"Frequency Version A","DIETARY","SACKING","Study1","U",3491,"50",8472,"supplement",23.529411764706,0
"w997109",9,"Frequency Version A","DIETARY","SACKING","Study1","U",14238,"3",14518,"Vegan",16.666666666667,0
"10056332",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",3260,"99",5718,"stomach",100,100
"w10005012",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",1770,"75",4232,"stomach",100,100
"w10007676",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",6490,"73",3630,"STOMACH",100,100
"w10008769",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",9218,"95",3235,"STOMACH",100,100
"w10010991_apc",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",4673,"95",5898,"stomach",100,100
"w10017318_jw",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",20495,"87",2259,"",0,0
"w10051017_dg",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",36000,"90",4988,"stomach",100,100
"w215680_oa",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",7128,"70",5349,"stomach",100,100
"w726337",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",4523,"99",3558,"stomach ",100,100
"w997109",9,"Frequency Version A","DIGESTION","STOMACH","Study1","F",12783,"99",10625,"Stomac ",92.307692307692,100
"10056332",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",2357,"0",4378,"",0,0
"w10005012",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",1309,"75",6991,"columbus",15.384615384615,0
"w10007676",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",4508,"0",6163,"SPACE",0,0
"w10008769",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",7489,"0",18309,"FIND",22.222222222222,0
"w10010991_apc",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",3368,"0",11346,"world",40,0
"w10017318_jw",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",5434,"12",2691,"Floor",100,100
"w10051017_dg",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",14781,"0",3252,"floor",100,100
"w215680_oa",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",6520,"0",16139,"find",22.222222222222,0
"w726337",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",3222,"25",17054,"wild",22.222222222222,0
"w997109",9,"Frequency Version A","DISCOVER","FLOOR","Study1","U",13222,"55",6897,"Find ",22.222222222222,0
"10056332",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",8693,"100",2498,"talk",100,100
"w10005012",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",1209,"75",4203,"board",22.222222222222,0
"w10007676",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",9160,"96",13222,"CONVERSATION",12.5,0
"w10008769",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",4795,"90",24235,"DEBATE",20,0
"w10010991_apc",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",5270,"95",6889,"conversation",12.5,0
"w10017318_jw",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",27563,"100",1547,"",0,0
"w10051017_dg",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",2487,"90",2119,"talk",100,100
"w215680_oa",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",7166,"30",13147,"talk",100,100
"w726337",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",2989,"20",29659,"post",25,0
"w997109",9,"Frequency Version A","DISCUSSION","TALK","Study1","F",14183,"99",14513,"Choice ",0,0
"10056332",9,"Frequency Version A","DRINK","SIP","Study1","B",4117,"95",2740,"sip",100,100
"w10005012",9,"Frequency Version A","DRINK","SIP","Study1","B",1988,"50",23892,"up",40,0
"w10007676",9,"Frequency Version A","DRINK","SIP","Study1","B",2562,"0",4543,"EAT",0,0
"w10008769",9,"Frequency Version A","DRINK","SIP","Study1","B",3808,"90",2615,"SIP",100,100
"w10010991_apc",9,"Frequency Version A","DRINK","SIP","Study1","B",7288,"95",4219,"sip",100,100
"w10017318_jw",9,"Frequency Version A","DRINK","SIP","Study1","B",9943,"83",15041,"Thirsty",20,0
"w10051017_dg",9,"Frequency Version A","DRINK","SIP","Study1","B",7272,"80",92987,"sip",100,100
"w215680_oa",9,"Frequency Version A","DRINK","SIP","Study1","B",1711,"100",26655,"digest",22.222222222222,0
"w726337",9,"Frequency Version A","DRINK","SIP","Study1","B",3339,"20",4296,"sip",100,100
"w997109",9,"Frequency Version A","DRINK","SIP","Study1","B",14191,"90",6960,"Sip",100,100
