"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"w10042962_jkc",5,"JOL Version A","BALL","RACKET","Study1","B",5026,"40",6676,"basket",66.666666666667,0
"w10048478_tn",5,"JOL Version A","BALL","RACKET","Study1","B",7212,"20",4771,"",0,0
"w10049707_slh",5,"JOL Version A","BALL","RACKET","Study1","B",2850,"100",4655,"catcher",30.769230769231,0
"w10061353",5,"JOL Version A","BALL","RACKET","Study1","B",3763,"80",4279,"RACKET",100,100
"w10061432",5,"JOL Version A","BALL","RACKET","Study1","B",2612,"10",1557,"",0,0
"w218847JDM",5,"JOL Version A","BALL","RACKET","Study1","B",3250,"30",6601,"glove",18.181818181818,0
"w922820",5,"JOL Version A","BALL","RACKET","Study1","B",9020,"15",5676,"catcher",30.769230769231,0
"W970517",5,"JOL Version A","BALL","RACKET","Study1","B",3479,"90",11939,"Catcher ",30.769230769231,0
"w10010080YS",5,"JOL Version A","BATHROOM","TOILET","Study1","S",40560,"95",5160,"toilet",100,100
"w10024584",5,"JOL Version A","BATHROOM","TOILET","Study1","S",1838,"100",1043,"",0,0
"w10033288",5,"JOL Version A","BATHROOM","TOILET","Study1","S",6982,"20",2982,"TOILET",100,100
"w10042962_jkc",5,"JOL Version A","BATHROOM","TOILET","Study1","S",3013,"99",3431,"toilet",100,100
"w10048478_tn",5,"JOL Version A","BATHROOM","TOILET","Study1","S",42699,"20",2252,"",0,0
"w10049707_slh",5,"JOL Version A","BATHROOM","TOILET","Study1","S",2139,"100",3658,"toilet",100,100
"w10061353",5,"JOL Version A","BATHROOM","TOILET","Study1","S",4207,"100",3137,"TOILET",100,100
"w10061432",5,"JOL Version A","BATHROOM","TOILET","Study1","S",2451,"90",7041,"sink",20,0
"w218847JDM",5,"JOL Version A","BATHROOM","TOILET","Study1","S",1204,"80",1963,"toilet",100,100
"w922820",5,"JOL Version A","BATHROOM","TOILET","Study1","S",3375,"95",3281,"toilet",100,100
"W970517",5,"JOL Version A","BATHROOM","TOILET","Study1","S",1304,"100",6358,"Toilet ",100,100
"w10010080YS",5,"JOL Version A","BEGIN","END","Study1","S",34589,"98",5876,"end",100,100
"w10024584",5,"JOL Version A","BEGIN","END","Study1","S",1248,"100",2920,"end",100,100
"w10033288",5,"JOL Version A","BEGIN","END","Study1","S",5209,"50",2505,"END",100,100
"w10042962_jkc",5,"JOL Version A","BEGIN","END","Study1","S",3213,"99",4453,"end",100,100
"w10048478_tn",5,"JOL Version A","BEGIN","END","Study1","S",4776,"90",4032,"END",100,100
"w10049707_slh",5,"JOL Version A","BEGIN","END","Study1","S",2625,"100",9369,"end",100,100
"w10061353",5,"JOL Version A","BEGIN","END","Study1","S",2590,"90",4178,"END",100,100
"w10061432",5,"JOL Version A","BEGIN","END","Study1","S",2056,"100",1917,"",0,0
"w218847JDM",5,"JOL Version A","BEGIN","END","Study1","S",1479,"80",2672,"finish",22.222222222222,0
"w922820",5,"JOL Version A","BEGIN","END","Study1","S",4011,"100",1790,"end",100,100
"W970517",5,"JOL Version A","BEGIN","END","Study1","S",2835,"100",4163,"Start",0,0
"w10010080YS",5,"JOL Version A","BITTER","COLD","Study1","F",10054,"91",5591,"cold",100,100
"w10024584",5,"JOL Version A","BITTER","COLD","Study1","F",1307,"0",4126,"taste",0,0
"w10033288",5,"JOL Version A","BITTER","COLD","Study1","F",4060,"50",57766,"COLD",100,100
"w10042962_jkc",5,"JOL Version A","BITTER","COLD","Study1","F",6233,"75",3744,"sweet",0,0
"w10048478_tn",5,"JOL Version A","BITTER","COLD","Study1","F",3885,"40",4102,"SWEET",0,0
"w10049707_slh",5,"JOL Version A","BITTER","COLD","Study1","F",3399,"15",3400,"better",0,0
"w10061353",5,"JOL Version A","BITTER","COLD","Study1","F",4604,"50",2030,"COLD",100,100
"w10061432",5,"JOL Version A","BITTER","COLD","Study1","F",3086,"30",16907,"sour",25,0
"w218847JDM",5,"JOL Version A","BITTER","COLD","Study1","F",3917,"60",3255,"cold",100,100
"w922820",5,"JOL Version A","BITTER","COLD","Study1","F",5272,"75",2253,"cold",100,100
"W970517",5,"JOL Version A","BITTER","COLD","Study1","F",2976,"10",6324,"Sad",28.571428571429,0
"w10010080YS",5,"JOL Version A","BLOW","WIND","Study1","S",4365,"87",4814,"wind",100,100
"w10024584",5,"JOL Version A","BLOW","WIND","Study1","S",1422,"100",708,"",0,0
"w10033288",5,"JOL Version A","BLOW","WIND","Study1","S",4322,"40",15079,"MOUTH",0,0
"w10042962_jkc",5,"JOL Version A","BLOW","WIND","Study1","S",16221,"30",4066,"",0,0
"w10048478_tn",5,"JOL Version A","BLOW","WIND","Study1","S",46880,"45",7329,"",0,0
"w10049707_slh",5,"JOL Version A","BLOW","WIND","Study1","S",4569,"15",2869,"pop",0,0
"w10061353",5,"JOL Version A","BLOW","WIND","Study1","S",2922,"70",3339,"WIND",100,100
"w10061432",5,"JOL Version A","BLOW","WIND","Study1","S",3299,"30",3227,"wind",100,100
"w218847JDM",5,"JOL Version A","BLOW","WIND","Study1","S",1094,"60",13787,"wind",100,100
"w922820",5,"JOL Version A","BLOW","WIND","Study1","S",11122,"76",2221,"wind",100,100
"W970517",5,"JOL Version A","BLOW","WIND","Study1","S",4894,"50",4193,"Wind ",100,100
"w10010080YS",5,"JOL Version A","BRIDGE","WATER","Study1","F",21058,"90",5460,"water",100,100
"w10024584",5,"JOL Version A","BRIDGE","WATER","Study1","F",1877,"100",2703,"water",100,100
"w10033288",5,"JOL Version A","BRIDGE","WATER","Study1","F",4317,"40",6494,"BURN",22.222222222222,0
"w10042962_jkc",5,"JOL Version A","BRIDGE","WATER","Study1","F",4329,"60",3677,"water",100,100
"w10048478_tn",5,"JOL Version A","BRIDGE","WATER","Study1","F",4031,"70",16313,"",0,0
"w10049707_slh",5,"JOL Version A","BRIDGE","WATER","Study1","F",3155,"40",1906,"water",100,100
"w10061353",5,"JOL Version A","BRIDGE","WATER","Study1","F",4031,"90",3354,"WATER",100,100
"w10061432",5,"JOL Version A","BRIDGE","WATER","Study1","F",3623,"0",5190,"boat",44.444444444444,0
"w218847JDM",5,"JOL Version A","BRIDGE","WATER","Study1","F",2415,"60",15336,"water",100,100
"w922820",5,"JOL Version A","BRIDGE","WATER","Study1","F",9651,"65",1830,"water",100,100
"W970517",5,"JOL Version A","BRIDGE","WATER","Study1","F",4438,"80",2914,"Water",100,100
"w10010080YS",5,"JOL Version A","BUG","WASP","Study1","B",11767,"97",8859,"wasp ",100,100
"w10024584",5,"JOL Version A","BUG","WASP","Study1","B",1670,"100",1599,"",0,0
"w10033288",5,"JOL Version A","BUG","WASP","Study1","B",4921,"20",4676,"INSECT",20,0
"w10042962_jkc",5,"JOL Version A","BUG","WASP","Study1","B",4428,"40",3154,"wasp",100,100
"w10048478_tn",5,"JOL Version A","BUG","WASP","Study1","B",5145,"30",16115,"BITE",0,0
"w10049707_slh",5,"JOL Version A","BUG","WASP","Study1","B",2579,"20",10936,"lady",25,0
"w10061353",5,"JOL Version A","BUG","WASP","Study1","B",9762,"50",5017,"WASP",100,100
"w10061432",5,"JOL Version A","BUG","WASP","Study1","B",2336,"40",7349,"insect ",20,0
"w218847JDM",5,"JOL Version A","BUG","WASP","Study1","B",3040,"50",3096,"wasp ",100,100
"w922820",5,"JOL Version A","BUG","WASP","Study1","B",5809,"50",8059,"juice",0,0
"W970517",5,"JOL Version A","BUG","WASP","Study1","B",3809,"50",6865,"Hornet",0,0
"w10010080YS",5,"JOL Version A","CASH","WOULD","Study1","U",9629,"2",11445,"",0,0
"w10024584",5,"JOL Version A","CASH","WOULD","Study1","U",1407,"0",3827,"",0,0
"w10033288",5,"JOL Version A","CASH","WOULD","Study1","U",3686,"10",2566,"MONEY",20,0
"w10042962_jkc",5,"JOL Version A","CASH","WOULD","Study1","U",3910,"1",4669,"wage",22.222222222222,0
"w10048478_tn",5,"JOL Version A","CASH","WOULD","Study1","U",6422,"14",4344,"MONEY",20,0
"w10049707_slh",5,"JOL Version A","CASH","WOULD","Study1","U",3826,"0",2220,"money",20,0
"w10061353",5,"JOL Version A","CASH","WOULD","Study1","U",3346,"20",9689,"ABOUT",40,0
"w10061432",5,"JOL Version A","CASH","WOULD","Study1","U",2097,"0",2932,"money",20,0
"w218847JDM",5,"JOL Version A","CASH","WOULD","Study1","U",2059,"60",5824,"check",0,0
"w922820",5,"JOL Version A","CASH","WOULD","Study1","U",3458,"0",18124,"app",0,0
"W970517",5,"JOL Version A","CASH","WOULD","Study1","U",2540,"10",4846,"Credit card ",12.5,0
"w10010080YS",5,"JOL Version A","CHISEL","HAMMER","Study1","F",10758,"2",17958,"hammer",100,100
"w10024584",5,"JOL Version A","CHISEL","HAMMER","Study1","F",2282,"0",5029,"art",44.444444444444,0
"w10033288",5,"JOL Version A","CHISEL","HAMMER","Study1","F",3587,"20",7352,"SLEEP",18.181818181818,0
"w10042962_jkc",5,"JOL Version A","CHISEL","HAMMER","Study1","F",5419,"90",2930,"hammer",100,100
"w10048478_tn",5,"JOL Version A","CHISEL","HAMMER","Study1","F",4383,"50",10277,"",0,0
"w10049707_slh",5,"JOL Version A","CHISEL","HAMMER","Study1","F",5907,"40",5218,"lion",0,0
"w10061353",5,"JOL Version A","CHISEL","HAMMER","Study1","F",3601,"30",3819,"HAMMER",100,100
"w10061432",5,"JOL Version A","CHISEL","HAMMER","Study1","F",3654,"20",6728,"poke",20,0
"w218847JDM",5,"JOL Version A","CHISEL","HAMMER","Study1","F",2157,"60",2268,"hammer",100,100
"w922820",5,"JOL Version A","CHISEL","HAMMER","Study1","F",4870,"50",2510,"hammer",100,100
"W970517",5,"JOL Version A","CHISEL","HAMMER","Study1","F",2072,"100",8597,"Tool",0,0
"w10010080YS",5,"JOL Version A","CIRCLE","ROUND","Study1","S",11592,"95",6184,"round",100,100
"w10024584",5,"JOL Version A","CIRCLE","ROUND","Study1","S",1095,"100",3509,"round",100,100
"w10033288",5,"JOL Version A","CIRCLE","ROUND","Study1","S",5112,"20",4650,"ROUND",100,100
"w10042962_jkc",5,"JOL Version A","CIRCLE","ROUND","Study1","S",3026,"100",2999,"round",100,100
"w10048478_tn",5,"JOL Version A","CIRCLE","ROUND","Study1","S",8773,"30",6394,"ROUND",100,100
"w10049707_slh",5,"JOL Version A","CIRCLE","ROUND","Study1","S",3079,"100",2230,"round",100,100
"w10061353",5,"JOL Version A","CIRCLE","ROUND","Study1","S",3786,"100",3204,"ROUND",100,100
"w10061432",5,"JOL Version A","CIRCLE","ROUND","Study1","S",3103,"98",2338,"round",100,100
"w218847JDM",5,"JOL Version A","CIRCLE","ROUND","Study1","S",1561,"70",2204,"round",100,100
"w922820",5,"JOL Version A","CIRCLE","ROUND","Study1","S",3345,"95",3245,"square",18.181818181818,0
"W970517",5,"JOL Version A","CIRCLE","ROUND","Study1","S",2106,"100",5758,"Round ",100,100
"w10010080YS",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",8459,"64",5070,"attire",100,100
"w10024584",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",1391,"100",2120,"",0,0
"w10033288",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",4919,"30",4590,"ATTIRE",100,100
"w10042962_jkc",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",3106,"95",3231,"",0,0
"w10048478_tn",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",5823,"15",2829,"",0,0
"w10049707_slh",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",2251,"100",6248,"attire;",92.307692307692,100
"w10061353",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",5584,"60",4067,"",0,0
"w10061432",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",2579,"100",67315,"fabric",33.333333333333,0
"w218847JDM",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",1506,"70",23117,"shirts",33.333333333333,0
"w922820",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",6985,"65",13277,"wash",20,0
"W970517",5,"JOL Version A","CLOTHES","ATTIRE","Study1","B",2214,"100",4738,"Closet",16.666666666667,0
"w10010080YS",5,"JOL Version A","CREDIT","CARD","Study1","F",6393,"98",3892,"card",100,100
"w10024584",5,"JOL Version A","CREDIT","CARD","Study1","F",1513,"100",3022,"card",100,100
"w10033288",5,"JOL Version A","CREDIT","CARD","Study1","F",7269,"95",2622,"CARD",100,100
"w10042962_jkc",5,"JOL Version A","CREDIT","CARD","Study1","F",3166,"100",2263,"card",100,100
"w10048478_tn",5,"JOL Version A","CREDIT","CARD","Study1","F",5705,"75",3797,"CARD",100,100
"w10049707_slh",5,"JOL Version A","CREDIT","CARD","Study1","F",2175,"100",2802,"card",100,100
"w10061353",5,"JOL Version A","CREDIT","CARD","Study1","F",3808,"100",2162,"CARD",100,100
"w10061432",5,"JOL Version A","CREDIT","CARD","Study1","F",2744,"90",943,"",0,0
"w218847JDM",5,"JOL Version A","CREDIT","CARD","Study1","F",1784,"90",3023,"care",75,100
"w922820",5,"JOL Version A","CREDIT","CARD","Study1","F",3691,"100",1813,"card",100,100
"W970517",5,"JOL Version A","CREDIT","CARD","Study1","F",1367,"100",2675,"Card",100,100
"w10010080YS",5,"JOL Version A","DARK","CAVE","Study1","B",9474,"76",10047,"",0,0
"w10024584",5,"JOL Version A","DARK","CAVE","Study1","B",2153,"100",1009,"",0,0
"w10033288",5,"JOL Version A","DARK","CAVE","Study1","B",3756,"10",4927,"LIGHT",0,0
"w10042962_jkc",5,"JOL Version A","DARK","CAVE","Study1","B",3477,"90",5753,"",0,0
"w10048478_tn",5,"JOL Version A","DARK","CAVE","Study1","B",3240,"20",5209,"LIGHT",0,0
"w10049707_slh",5,"JOL Version A","DARK","CAVE","Study1","B",4629,"90",4609,"cave",100,100
"w10061353",5,"JOL Version A","DARK","CAVE","Study1","B",6294,"50",3030,"CAVE",100,100
"w10061432",5,"JOL Version A","DARK","CAVE","Study1","B",2688,"30",5048,"hide",25,0
"w218847JDM",5,"JOL Version A","DARK","CAVE","Study1","B",1853,"60",6223,"black",22.222222222222,0
"w922820",5,"JOL Version A","DARK","CAVE","Study1","B",4997,"85",3318,"light",0,0
"W970517",5,"JOL Version A","DARK","CAVE","Study1","B",2977,"90",5569,"Cave",100,100
"w10010080YS",5,"JOL Version A","DEATH","BUSINESS","Study1","U",10140,"30",12038,"business ",100,100
"w10024584",5,"JOL Version A","DEATH","BUSINESS","Study1","U",1622,"0",1047,"",0,0
"w10033288",5,"JOL Version A","DEATH","BUSINESS","Study1","U",5012,"10",15559,"VALLEY",14.285714285714,0
"w10042962_jkc",5,"JOL Version A","DEATH","BUSINESS","Study1","U",4976,"0",4545,"life",33.333333333333,0
"w10048478_tn",5,"JOL Version A","DEATH","BUSINESS","Study1","U",4343,"54",3738,"ROW",0,0
"w10049707_slh",5,"JOL Version A","DEATH","BUSINESS","Study1","U",2292,"0",12775,"funeral",40,0
"w10061353",5,"JOL Version A","DEATH","BUSINESS","Study1","U",3251,"20",4063,"BUSINESS",100,100
"w10061432",5,"JOL Version A","DEATH","BUSINESS","Study1","U",1820,"0",6366,"die",36.363636363636,0
"w218847JDM",5,"JOL Version A","DEATH","BUSINESS","Study1","U",2028,"30",2710,"kill",16.666666666667,0
"w922820",5,"JOL Version A","DEATH","BUSINESS","Study1","U",5165,"0",2799,"life",33.333333333333,0
"W970517",5,"JOL Version A","DEATH","BUSINESS","Study1","U",2139,"10",8277,"Funeral",40,0
"w10010080YS",5,"JOL Version A","DEBATE","SIGHT","Study1","U",51474,"6",11859,"sight",100,100
"w10024584",5,"JOL Version A","DEBATE","SIGHT","Study1","U",2098,"0",5981,"argument",30.769230769231,0
"w10033288",5,"JOL Version A","DEBATE","SIGHT","Study1","U",3573,"20",6788,"ARGUMENT",30.769230769231,0
"w10042962_jkc",5,"JOL Version A","DEBATE","SIGHT","Study1","U",9556,"10",31009,"quarrel",0,0
"w10048478_tn",5,"JOL Version A","DEBATE","SIGHT","Study1","U",3783,"35",8997,"",0,0
"w10049707_slh",5,"JOL Version A","DEBATE","SIGHT","Study1","U",2719,"10",6061,"lawyer",0,0
"w10061353",5,"JOL Version A","DEBATE","SIGHT","Study1","U",5053,"20",2460,"",0,0
"w10061432",5,"JOL Version A","DEBATE","SIGHT","Study1","U",3050,"5",3553,"argue",20,0
"w218847JDM",5,"JOL Version A","DEBATE","SIGHT","Study1","U",2258,"30",4526,"assignment",53.333333333333,0
"w922820",5,"JOL Version A","DEBATE","SIGHT","Study1","U",2895,"0",5647,"dissucion",14.285714285714,0
"W970517",5,"JOL Version A","DEBATE","SIGHT","Study1","U",4985,"10",4125,"determine ",14.285714285714,0
"w10010080YS",5,"JOL Version A","DELINQUENT","BAD","Study1","F",4583,"20",10946,"bad",100,100
"w10024584",5,"JOL Version A","DELINQUENT","BAD","Study1","F",3181,"100",2297,"bad",100,100
"w10033288",5,"JOL Version A","DELINQUENT","BAD","Study1","F",3402,"10",35520,"BAD",100,100
"w10042962_jkc",5,"JOL Version A","DELINQUENT","BAD","Study1","F",4604,"90",14245,"mad",66.666666666667,0
"w10048478_tn",5,"JOL Version A","DELINQUENT","BAD","Study1","F",4079,"90",8869,"",0,0
"w10049707_slh",5,"JOL Version A","DELINQUENT","BAD","Study1","F",10963,"60",2496,"bad",100,100
"w10061353",5,"JOL Version A","DELINQUENT","BAD","Study1","F",5039,"80",2821,"BAD",100,100
"w10061432",5,"JOL Version A","DELINQUENT","BAD","Study1","F",2388,"100",1812,"",0,0
"w218847JDM",5,"JOL Version A","DELINQUENT","BAD","Study1","F",1793,"60",5901,"bad",100,100
"w922820",5,"JOL Version A","DELINQUENT","BAD","Study1","F",8688,"85",3641,"bad",100,100
"W970517",5,"JOL Version A","DELINQUENT","BAD","Study1","F",2659,"100",2087,"Bad",100,100
"w10010080YS",5,"JOL Version A","DIETARY","SACKING","Study1","U",6927,"0",11120,"",0,0
"w10024584",5,"JOL Version A","DIETARY","SACKING","Study1","U",3413,"20",1340,"",0,0
"w10033288",5,"JOL Version A","DIETARY","SACKING","Study1","U",3524,"10",28764,"SACKING",100,100
"w10042962_jkc",5,"JOL Version A","DIETARY","SACKING","Study1","U",3218,"2",6165,"health",15.384615384615,0
"w10048478_tn",5,"JOL Version A","DIETARY","SACKING","Study1","U",10377,"25",3767,"",0,0
"w10049707_slh",5,"JOL Version A","DIETARY","SACKING","Study1","U",2240,"0",5835,"stomach",42.857142857143,0
"w10061353",5,"JOL Version A","DIETARY","SACKING","Study1","U",3704,"0",3667,"",0,0
"w10061432",5,"JOL Version A","DIETARY","SACKING","Study1","U",2711,"0",1173,"",0,0
"w218847JDM",5,"JOL Version A","DIETARY","SACKING","Study1","U",2431,"30",7406,"healthy",14.285714285714,0
"w922820",5,"JOL Version A","DIETARY","SACKING","Study1","U",6577,"0",5653,"food",0,0
"W970517",5,"JOL Version A","DIETARY","SACKING","Study1","U",4397,"10",6633,"Hunger ",30.769230769231,0
"w10010080YS",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",7855,"96",7427,"stomach",100,100
"w10024584",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",2069,"100",3890,"stomach",100,100
"w10033288",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",8522,"10",8500,"STOMACH",100,100
"w10042962_jkc",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",4179,"100",3339,"stomach",100,100
"w10048478_tn",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",4876,"57",6924,"STOMACH",100,100
"w10049707_slh",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",2564,"100",6514,"stomach",100,100
"w10061353",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",2866,"80",2990,"STOMACH",100,100
"w10061432",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",3019,"40",10960,"stomach ",100,100
"w218847JDM",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",1914,"70",2399,"stomach",100,100
"w922820",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",11493,"55",5836,"stomach",100,100
"W970517",5,"JOL Version A","DIGESTION","STOMACH","Study1","F",2984,"100",9825,"Hungry ",15.384615384615,0
"w10010080YS",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",6943,"2",6837,"floor",100,100
"w10024584",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",1325,"0",1316,"",0,0
"w10033288",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",5882,"20",7569,"INTERNET",15.384615384615,0
"w10042962_jkc",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",5404,"40",5479,"travel",18.181818181818,0
"w10048478_tn",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",4184,"40",11417,"",0,0
"w10049707_slh",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",2744,"0",3139,"find",22.222222222222,0
"w10061353",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",4048,"30",9687,"ROOM",44.444444444444,0
"w10061432",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",2654,"0",997,"",0,0
"w218847JDM",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",1937,"40",1775,"find",22.222222222222,0
"w922820",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",5559,"0",6067,"find",22.222222222222,0
"W970517",5,"JOL Version A","DISCOVER","FLOOR","Study1","U",2780,"10",4688,"",0,0
